id,name,address,postcode,bbox
2510,Dickens Heath,"Old Dickens Heath Road, Shirley, Solihull",B90 1SD,"POLYGON((-1.85839921227769 52.3721490186204,-1.85839921227769 52.4010740280111,-1.81112550666915 52.4010740280111,-1.81112550666915 52.3721490186204,-1.85839921227769 52.3721490186204))"
2519,Shirley,"Church Road, Shirley, Solihull",B90 2AX,"POLYGON((-1.84948670281561 52.391950495796,-1.84948670281561 52.420875315673,-1.80219198373817 52.420875315673,-1.80219198373817 52.391950495796,-1.84948670281561 52.391950495796))"
2520,Shirley,"22 Parkgate, Stratford Road, Shirley, Solihull",B90 3GG,"POLYGON((-1.852566160126 52.3986166261419,-1.852566160126 52.4275414450296,-1.8052642586423 52.4275414450296,-1.8052642586423 52.3986166261419,-1.852566160126 52.3986166261419))"
2522,"The Core, Library","Homer Road, Solihull",B91 3RG,"POLYGON((-1.80368843744374 52.3972056362314,-1.80368843744374 52.4261299466589,-1.75638888855661 52.4261299466589,-1.75638888855661 52.3972056362314,-1.80368843744374 52.3972056362314))"
3153,Westbury,"Westbury House Edward Street, Westbury",BA13 3BD,"POLYGON((-2.2068391997734 51.247291542968,-2.2068391997734 51.2762251671498,-2.16072358136637 51.2762251671498,-2.16072358136637 51.247291542968,-2.2068391997734 51.247291542968))"
3151,Trowbridge Reference,"Libraries HQ, Bythesea Road, Trowbridge",BA14 8BS,"POLYGON((-2.23266952059446 51.3020712019657,-2.23266952059446 51.3310047368276,-2.18649870978863 51.3310047368276,-2.18649870978863 51.3020712019657,-2.23266952059446 51.3020712019657))"
3150,Trowbridge,"Ground Floor, County Hall, Trowbridge",BA14 8JN,"POLYGON((-2.23356178423132 51.3025911206871,-2.23356178423132 51.3315246591833,-2.1873904416019 51.3315246591833,-2.1873904416019 51.3025911206871,-2.23356178423132 51.3025911206871))"
3149,Trowbridge,"Cradle Bridge, Mortimer Street, Trowbridge",BA14 8XR,"POLYGON((-2.23460540887872 51.3046483542591,-2.23460540887872 51.333581889793,-2.18843198943984 51.333581889793,-2.18843198943984 51.3046483542591,-2.23460540887872 51.3046483542591))"
150,Boscombe Library,"Hawkwood Road, Bournemouth",BH5 1EZ,"POLYGON((-1.85849543605724 50.7116169384521,-1.85849543605724 50.740550188776,-1.81291246622382 50.740550188776,-1.81291246622382 50.7116169384521,-1.85849543605724 50.7116169384521))"
119,Darwen,"Knott Street, Darwen",BB3 3BU,"POLYGON((-2.49052005605674 53.6822196909735,-2.49052005605674 53.7111430234467,-2.44178315490838 53.7111430234467,-2.44178315490838 53.6822196909735,-2.49052005605674 53.6822196909735))"
